"Time (s)","Acceleration x (m/s²)","Acceleration y (m/s²)","Acceleration z (m/s²)"
2.121341422E1,-8.096713424E-1,5.967101574E0,1.372852039E1
2.121590770E1,-7.546364665E-1,5.969494343E0,1.317757320E1
2.121840114E1,-4.812564552E-1,6.381658077E0,1.262901878E1
2.122089458E1,-1.339980662E-1,6.427121639E0,1.203021526E1
2.122338802E1,-9.571290575E-3,5.993422508E0,1.150558853E1
2.122588151E1,2.108674943E-1,5.560022354E0,1.097617626E1
2.122837494E1,3.284149170E-1,5.047360420E0,1.045872879E1
2.123087083E1,3.185445070E-1,4.671088696E0,1.005135059E1
2.123336427E1,2.132603228E-1,4.474877357E0,9.605986595E0
2.123585770E1,1.319043487E-1,4.354937077E0,9.064610481E0
2.123835119E1,1.486541033E-1,4.297509670E0,8.504091263E0
2.124084463E1,1.941177398E-1,4.338187218E0,7.928916931E0
2.124333807E1,2.036890239E-1,4.412364960E0,7.382755280E0
2.124583156E1,9.122636169E-2,4.510769844E0,6.884748936E0
2.124832500E1,-2.153540403E-2,4.421936035E0,6.465406895E0
2.125081843E1,-1.555334777E-1,4.249652863E0,6.055635929E0
2.125331187E1,-2.371885478E-1,4.041178226E0,5.677270889E0
2.125580536E1,-3.161516786E-1,3.835096598E0,5.284548759E0
2.125829880E1,-3.879363835E-1,3.595515013E0,4.934598446E0
2.126079328E1,-4.286143482E-1,3.343969584E0,4.637589455E0
2.126328672E1,-3.855435550E-1,3.085245609E0,4.302295208E0
2.126578015E1,-3.664009571E-1,2.845963478E0,3.885345697E0
2.126827364E1,-3.783650696E-1,2.568096876E0,3.533301830E0
2.127076708E1,-3.424727321E-1,2.263610125E0,3.188436270E0
2.127326052E1,-3.161516786E-1,2.060220242E0,2.828914642E0
2.127575401E1,-2.970091105E-1,1.846959949E0,2.462513685E0
2.127824744E1,-3.137588799E-1,1.657627940E0,2.103291035E0
2.128074088E1,-3.687937856E-1,1.521237016E0,1.839781523E0
2.128323432E1,-5.030909777E-1,1.384546995E0,1.559522152E0
2.128572781E1,-6.993024349E-1,1.248156071E0,1.403689623E0
2.128822125E1,-8.335995674E-1,1.130608678E0,1.250548959E0
2.129072015E1,-9.508479238E-1,9.870393276E-1,1.133001566E0
2.129321359E1,-1.032503009E0,8.623134494E-1,9.750752449E-1
2.129570703E1,-1.137787223E0,7.546364665E-1,9.340981245E-1
2.129820052E1,-1.128215909E0,6.442674994E-1,8.742775917E-1
2.130069395E1,-1.111466169E0,5.246263742E-1,8.838488460E-1
2.130318739E1,-1.094716311E0,2.826521695E-1,8.742775917E-1
2.130568088E1,-1.099501967E0,3.349951655E-2,8.551349640E-1
2.130817432E1,-1.039681435E0,-1.510469317E-1,8.838488460E-1
2.131066776E1,-1.051645517E0,-3.783650696E-1,9.436694384E-1
2.131316119E1,-1.073180914E0,-6.179464459E-1,9.607182741E-1
2.131565468E1,-1.042074203E0,-8.120641708E-1,1.061216831E0
2.131814812E1,-1.013061285E0,-1.006181955E0,1.070788145E0
2.132063958E1,-9.460622668E-1,-1.180858016E0,1.118644595E0
2.132313302E1,-8.670991063E-1,-1.274477124E0,1.252941728E0
2.132562645E1,-7.423732281E-1,-1.343868971E0,1.389332652E0
2.132811994E1,-5.796613097E-1,-1.413260818E0,1.482652783E0
2.133061338E1,-4.190430641E-1,-1.370190024E0,1.593021631E0
2.133310682E1,-2.850449979E-1,-1.377368569E0,1.715055585E0
2.133560031E1,-1.579262912E-1,-1.370190024E0,1.823031783E0
2.133809375E1,-1.196411345E-2,-1.293619752E0,1.990529299E0
2.134058718E1,1.175474152E-1,-1.224227905E0,2.172683001E0
2.134308062E1,2.108674943E-1,-1.176072359E0,2.306980133E0
2.134557411E1,3.233301640E-1,-1.080359459E0,2.385943174E0
2.134806755E1,4.671986103E-1,-1.001396298E0,2.512762785E0
2.135056093E1,5.940182209E-1,-8.599206209E-1,2.714059114E0
2.135305437E1,7.570292354E-1,-7.761718631E-1,2.819343328E0
2.135554781E1,8.817551732E-1,-6.729813814E-1,2.915355206E0
2.135804130E1,1.101894855E0,-5.844469070E-1,3.037389278E0
2.136053474E1,1.310369492E0,-5.748756528E-1,3.049353361E0
2.136302817E1,1.442273855E0,-5.605186820E-1,3.193221807E0
2.136552166E1,1.583450437E0,-5.174478889E-1,3.202793121E0
2.136801510E1,1.717747569E0,-4.863412082E-1,3.188436270E0
2.137050854E1,1.751247048E0,-5.198407173E-1,3.138186932E0
2.137300198E1,1.779960990E0,-5.054838061E-1,3.107080221E0
2.137549546E1,1.813460469E0,-5.461617708E-1,2.953640461E0
2.137798890E1,1.861316919E0,-5.605186820E-1,2.771486759E0
2.138047895E1,1.870888233E0,-6.035895348E-1,2.563311338E0
2.138297239E1,1.880459547E0,-6.804589629E-1,2.369193554E0
2.138546588E1,1.842174292E0,-7.498508096E-1,2.076970100E0
2.138795932E1,1.734497309E0,-7.594220638E-1,1.921137452E0
2.139045281E1,1.631306887E0,-7.977072597E-1,1.707877159E0
2.139294625E1,1.473380566E0,-8.623134494E-1,1.516451359E0
2.139543974E1,1.353440285E0,-9.655039310E-1,1.389332652E0
2.139793323E1,1.185942769E0,-1.008574724E0,1.154536963E0
2.140042666E1,1.003789067E0,-1.087537885E0,1.008574724E0
2.140292015E1,8.335995674E-1,-1.183250785E0,8.718847632E-1
2.140541359E1,6.302096844E-1,-1.204786181E0,7.259225845E-1
2.140790708E1,5.030909777E-1,-1.322333574E0,5.413761139E-1
2.141040270E1,3.523431420E-1,-1.401296735E0,3.640081584E-1
2.141289614E1,1.055833027E-1,-1.434796333E0,2.922234535E-1
2.141538963E1,-9.571290761E-2,-1.434796333E0,1.773679852E-1
2.141788307E1,-2.898306549E-1,-1.434796333E0,1.654038578E-1
2.142037656E1,-4.788636267E-1,-1.420439363E0,1.917249113E-1
2.142287000E1,-6.705885530E-1,-1.319940805E0,1.893320978E-1
2.142536349E1,-7.833502889E-1,-1.322333574E0,2.132603228E-1
2.142785698E1,-9.388837814E-1,-1.322333574E0,2.635096014E-1
2.143035041E1,-1.027717352E0,-1.298405409E0,3.376871049E-1
2.143284390E1,-1.070788145E0,-1.415653706E0,3.831507266E-1
2.143533734E1,-1.192822099E0,-1.465902925E0,4.576273263E-1
2.143783083E1,-1.228714466E0,-1.502094388E0,5.772684813E-1
2.144032698E1,-1.202393413E0,-1.552343726E0,6.490531564E-1
2.144282041E1,-1.173679471E0,-1.604985833E0,7.307082415E-1
2.144531390E1,-1.017846942E0,-1.626521230E0,8.359923959E-1
2.144780734E1,-8.647062778E-1,-1.621735573E0,8.910273314E-1
2.145030083E1,-6.562315822E-1,-1.566700578E0,9.511470199E-1
2.145279427E1,-4.812564552E-1,-1.516451359E0,1.037288666E0
2.145528776E1,-3.735794425E-1,-1.463510156E0,1.049252748E0
2.145778125E1,-2.057827413E-1,-1.403689623E0,1.039681435E0
2.146027468E1,-7.657032460E-2,-1.329512119E0,1.066002488E0
2.146276817E1,4.307080805E-2,-1.238584876E0,1.125823021E0
2.146526161E1,1.438684613E-1,-1.087537885E0,1.085145116E0
2.146775510E1,2.754737139E-1,-9.918249846E-1,1.056431174E0
2.147021255E1,3.523431420E-1,-8.647062778E-1,1.020538807E0
2.147270599E1,4.408775866E-1,-6.924230456E-1,1.049252748E0
2.147519948E1,5.341976285E-1,-4.983053207E-1,1.046859860E0
2.147769291E1,5.509474277E-1,-3.352942765E-1,9.364909530E-1
2.148018640E1,6.206383705E-1,-1.725823283E-1,9.125627279E-1
2.148267984E1,7.067800164E-1,2.632104978E-2,8.383852243E-1
2.148517333E1,7.283154130E-1,2.300100774E-1,7.211369276E-1
2.148766677E1,7.713862062E-1,4.600201547E-1,6.756733060E-1
2.149016026E1,7.929216027E-1,6.972087026E-1,6.586244106E-1
2.149265369E1,7.833502889E-1,8.862416744E-1,6.299105883E-1
2.149514718E1,7.785646915E-1,1.166501045E0,6.011967063E-1
2.149764067E1,7.115656137E-1,1.502094388E0,5.653043389E-1
2.150016880E1,5.748756528E-1,1.851745605E0,5.054838061E-1
2.150266224E1,4.025924206E-1,2.234896421E0,5.222335458E-1
2.150515572E1,3.185445070E-1,2.649452925E0,5.054838061E-1
2.150764916E1,1.989033818E-1,3.080460072E0,6.179464459E-1
2.151014265E1,1.271187067E-1,3.528516054E0,7.307082415E-1
2.151263609E1,1.031904742E-1,4.014857292E0,8.001000881E-1
2.151512958E1,3.589234129E-2,4.494019985E0,9.846464992E-1
2.151762307E1,-3.110669367E-2,5.011467934E0,1.140179992E0
2.152011651E1,-1.842473447E-1,5.528616905E0,1.363011599E0
2.152261000E1,-3.400799036E-1,6.026922226E0,1.583450437E0
2.152510343E1,-5.270192027E-1,6.530013084E0,1.901994944E0
2.152759692E1,-8.288139701E-1,6.954140663E0,2.218146563E0
2.153008573E1,-1.025324464E0,7.339684486E0,2.505584478E0
2.153257916E1,-1.286142230E0,7.617550850E0,2.881855726E0
2.153507265E1,-1.489831209E0,7.907381535E0,3.399303675E0
2.153756609E1,-1.671984792E0,8.161319733E0,3.885345697E0
2.154005958E1,-1.846959949E0,8.300402641E0,4.458127499E0
2.154255302E1,-2.064706802E0,8.374580383E0,5.152644634E0
2.154504651E1,-2.242074728E0,8.467900276E0,5.885745525E0
2.154754000E1,-2.328216314E0,8.563912392E0,6.645167351E0
2.155003343E1,-2.385943174E0,8.571090698E0,7.485945702E0
2.155252692E1,-2.433799744E0,8.604590416E0,8.367402077E0
2.155502036E1,-2.323430777E0,8.614161491E0,9.224929810E0
2.155751385E1,-2.160718918E0,8.700303078E0,1.021675491E1
2.156001093E1,-1.798804402E0,8.798707962E0,1.107188988E1
2.156250437E1,-1.451546073E0,8.908778191E0,1.193420315E1
2.156499786E1,-1.013061285E0,9.098110199E0,1.276062393E1
2.156749130E1,-5.413761139E-1,9.299106598E0,1.357986641E1
2.156998479E1,-8.135596663E-2,9.572187424E0,1.447358608E1
2.157247822E1,4.719842672E-1,9.905388832E0,1.524736500E1
2.157497172E1,9.726824164E-1,1.028136063E1,1.590598965E1
2.157746520E1,1.631306887E0,1.072463131E1,1.664387703E1
2.157995864E1,2.213361025E0,1.114606667E1,1.735753632E1
2.158245213E1,2.905783892E0,1.166351509E1,1.798535156E1
2.158494557E1,3.823132277E0,1.219053364E1,1.912553215E1
2.158743906E1,4.620839596E0,1.267208958E1,2.117588234E1
2.158993343E1,4.755136967E0,1.300020504E1,2.237139702E1
2.159242687E1,4.814957142E0,1.343151188E1,2.155933189E1
2.159492036E1,5.178965569E0,1.391545963E1,2.043111610E1
2.159741380E1,5.708377361E0,1.431775379E1,2.061775589E1
2.159990729E1,6.079863071E0,1.458844185E1,2.150429726E1
2.160240073E1,6.051149368E0,1.463151264E1,2.202653122E1
2.160489422E1,5.778068542E0,1.449990654E1,2.187069893E1
2.160738765E1,5.399404526E0,1.422682571E1,2.170768738E1
2.160988114E1,4.992325306E0,1.388166142E1,2.164786720E1
2.161237463E1,4.568197727E0,1.346501160E1,2.157129669E1
2.161486807E1,4.098606110E0,1.305524063E1,2.138914299E1
2.161736156E1,3.588635683E0,1.257398415E1,2.119053841E1
2.161985619E1,3.052045345E0,1.210678482E1,2.099402809E1
2.162234963E1,2.472084999E0,1.170419312E1,2.085494423E1
2.162484312E1,1.954936147E0,1.128275681E1,2.069701767E1
2.162733656E1,1.561915040E0,1.097378349E1,2.058664894E1
2.162983005E1,1.190728426E0,1.069113159E1,2.047657967E1
2.163232349E1,9.678967595E-1,1.043480015E1,2.033749771E1
2.163481698E1,7.785646915E-1,1.018804073E1,2.011975098E1
2.163731041E1,6.206383705E-1,1.001306534E1,1.989691925E1
2.163980390E1,4.336991012E-1,9.857531548E0,1.964058685E1
2.164229734E1,2.467598319E-1,9.735198975E0,1.933639908E1
2.164479083E1,7.926224917E-2,9.620343208E0,1.908485413E1
2.164728432E1,-1.004985496E-1,9.490832329E0,1.873729706E1
2.164977505E1,-2.467598319E-1,9.445367813E0,1.827996826E1
2.165226849E1,-3.616153300E-1,9.409476280E0,1.780080605E1
2.165476198E1,-5.102694035E-1,9.387940407E0,1.723550224E1
2.165725541E1,-6.394818425E-1,9.387940407E0,1.660798454E1
2.165974890E1,-8.144569993E-1,9.340084076E0,1.597777367E1
2.166224234E1,-9.269196987E-1,9.328120232E0,1.534307766E1
2.166473583E1,-1.087537885E0,9.265607834E0,1.468415451E1
2.166722927E1,-1.250249863E0,9.208179474E0,1.408295727E1
2.166972276E1,-1.339083314E0,9.145966530E0,1.345065403E1
2.167221625E1,-1.415653706E0,9.119645119E0,1.285424328E1
2.167470968E1,-1.415653706E0,9.033205032E0,1.218096256E1
2.167720317E1,-1.322333574E0,9.014061928E0,1.151276684E1
2.167969406E1,-1.240678549E0,8.987740517E0,1.101924706E1
2.168218750E1,-1.116251707E0,8.927920341E0,1.054726315E1
2.168468099E1,-9.149555564E-1,8.956634521E0,1.011864853E1
2.168717442E1,-6.993024349E-1,8.997312546E0,9.795019150E0
2.168966791E1,-5.102694035E-1,9.074181557E0,9.572187424E0
2.169216135E1,-3.544368446E-1,9.122037888E0,9.431011200E0
2.169465484E1,-1.603191197E-1,9.220144272E0,9.279964447E0
2.169714833E1,1.196411345E-2,9.328120232E0,9.229715347E0
2.169964177E1,1.486541033E-1,9.431011200E0,9.148359299E0
2.170213526E1,3.161516786E-1,9.519545555E0,8.915956497E0
2.170462869E1,5.318048596E-1,9.294321060E0,6.716952324E0
2.170712218E1,3.427718580E-1,9.179466248E0,3.284149170E0
2.170961942E1,1.965105534E-1,9.505188942E0,2.256431818E0
2.171211286E1,4.145565331E-1,9.524331093E0,4.165605068E0
2.171460635E1,1.103689447E-1,9.303893089E0,5.183751106E0
2.171709979E1,-4.094717801E-1,9.095717430E0,5.025825024E0
