Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.035207778,20.98677063,-23.8554554,4.579903126,32.10144555
1.040242622,32.67869186,-29.56991959,9.02334404,44.98552861
1.045285487,47.5448494,-33.47418213,16.1987114,60.36084678
1.050320331,63.34794998,-33.01076889,25.34440041,75.79585913
1.055355174,71.89587402,-28.82192039,33.45718765,84.37477824
1.060390018,71.38898468,-24.1664753,39.43422699,85.0615302
1.065424862,70.74209595,-22.04565048,45.65610123,87.0340992
1.070459706,70.51847839,-20.99103928,50.83189392,89.42796523
1.075487622,70.15804291,-22.19024658,50.82689667,89.43115482
1.080523456,69.85541534,-22.10800552,45.14765167,86.0630781
1.085559237,67.6218338,-20.72911835,34.79800034,78.82454936
1.09059507,48.65591812,-22.14260483,22.50983047,58.00332564
1.095630903,23.87053108,-26.38807106,9.796447754,36.90667876
1.100666737,5.026166439,-28.80055618,-0.902636528,29.24977159
1.105734341,-6.840036392,-27.67484856,-7.795450211,29.55422786
1.110770174,-11.36614609,-24.27931976,-9.507171631,28.44399686
1.115806008,-10.21626091,-20.28069305,-6.760502815,23.69352013
1.120841841,-7.368939877,-16.91534615,-2.842975855,18.66849544
1.125877674,-5.286580563,-13.87091637,-0.08913683891,14.84446699
1.130913508,-4.759446144,-10.79833984,1.617370605,11.91101837
1.13590007,-5.922327518,-8.211174965,2.43337059,10.41242767
1.140935903,-8.004583359,-6.301059723,2.232993603,10.4289486
1.145971737,-10.31114578,-4.771352768,1.426606417,11.4507965
1.15100757,-12.66415215,-3.148648739,0.4405254126,13.05713602
1.156043403,-14.77026176,-1.226257801,-0.2314977646,14.82288541
1.161079237,-15.80200386,0.8486738205,-0.4998934269,15.83267086
1.166137987,-15.45324707,3.300301075,-0.6630535126,15.81564011
1.17117382,-14.23097897,5.877395153,-1.104315996,15.43645199
1.176209601,-13.69010544,7.977293015,-2.236500025,16.00181624
1.181245435,-13.57227898,8.908098221,-3.746319294,16.6612088
1.18628132,-14.93146133,10.07252312,-5.707327843,18.89385748
1.191317101,-19.20114136,13.75333595,-9.671132088,25.5219293
1.196376945,-22.4894371,16.4701767,-14.22927856,31.2971863
1.201412778,-24.7503891,17.02398682,-19.11551094,35.60618831
1.206448612,-26.48155403,16.68891144,-23.88782501,39.3753813
1.211484445,-28.08290291,16.56742668,-28.06245232,43.01895271
1.216520278,-30.22855377,16.91553116,-31.46383286,46.79608355
1.221556112,-32.96152496,17.58816528,-34.52878952,50.87281191
1.226589706,-35.21910477,17.3450985,-37.46728516,54.26817888
1.231625539,-35.80989075,15.60277176,-39.14556122,55.30072084
1.23666132,-35.67066574,14.55817413,-39.47955322,55.16313942
1.241697206,-36.13116455,15.02625275,-38.68026733,55.02192658
1.246733039,-36.08819199,15.72170258,-36.73110962,53.83961317
1.251768872,-35.1502533,16.32745552,-34.13637543,51.64705449
1.256804966,-34.23814392,16.85394287,-31.87852859,49.72470689
1.261840799,-33.22399521,16.8684864,-29.99890709,47.83632634
1.266876633,-31.79886818,16.40093994,-27.39616776,45.06338709
1.271912466,-30.19070053,15.96975517,-23.52431488,41.47173579
1.276948299,-29.11227417,15.63657188,-19.60665894,38.42457498
1.281984133,-29.47709656,14.8767004,-16.9986763,37.13718396
