dmin,fmin,n_outliers
0.04,0.07,5000.0
0.04,0.085,5000.0
0.04,0.1,5000.0
0.04,0.115,5000.0
0.04,0.13,5000.0
0.04,0.14500000000000002,5000.0
0.04,0.16000000000000003,5000.0
0.04,0.17500000000000002,5000.0
0.04,0.19000000000000003,5000.0
0.04,0.20500000000000002,5000.0
0.04,0.22000000000000003,5000.0
0.04,0.23500000000000001,5000.0
0.04,0.25,5000.0
0.04,0.265,5000.0
0.04,0.28,5000.0
0.04,0.29500000000000004,5000.0
0.04,0.31000000000000005,5000.0
0.04,0.325,5000.0
0.04,0.34,5000.0
0.04,0.35500000000000004,5000.0
0.04,0.37000000000000005,5000.0
0.04,0.38500000000000006,5000.0
0.04,0.4,5000.0
0.04,0.41500000000000004,5000.0
0.04,0.43000000000000005,5000.0
0.04,0.44500000000000006,5000.0
0.04,0.46,5000.0
0.04,0.47500000000000003,5000.0
0.04,0.49000000000000005,5000.0
0.04,0.505,5000.0
0.04,0.52,5000.0
0.04,0.535,5000.0
0.04,0.55,5000.0
0.04,0.5650000000000001,5000.0
0.04,0.5800000000000001,4902.0
0.04,0.5950000000000001,4818.0
0.04,0.6100000000000001,4696.0
0.04,0.6250000000000001,4589.0
0.04,0.64,3410.0
0.04,0.655,3317.0
0.04,0.67,3246.0
0.04,0.685,3164.0
0.04,0.7000000000000001,3154.0
0.04,0.7150000000000001,3151.0
0.04,0.7300000000000001,3147.0
0.04,0.7450000000000001,3138.0
0.04,0.7600000000000001,3132.0
0.04,0.775,2823.0
0.04,0.79,2435.0
0.04,0.805,1819.0
0.04,0.8200000000000001,1518.0
0.04,0.8350000000000001,1436.0
0.04,0.8500000000000001,1342.0
0.04,0.8650000000000001,1299.0
0.04,0.8800000000000001,1239.0
0.04,0.8950000000000001,1123.0
0.04,0.91,954.0
0.04,0.925,848.0
0.04,0.9400000000000001,699.0
0.04,0.9550000000000001,547.0
0.04,0.9700000000000001,302.0
0.04,0.9850000000000001,102.0
0.04,1.0,0.0
0.04,1.0150000000000001,0.0
0.04,1.03,0.0
0.04,1.0450000000000002,0.0
0.04,1.06,0.0
0.04,1.0750000000000002,0.0
0.04,1.09,0.0
0.04,1.1050000000000002,0.0
0.04,1.12,0.0
0.04,1.135,0.0
0.04,1.1500000000000001,0.0
0.04,1.165,0.0
0.04,1.1800000000000002,0.0
0.04,1.195,0.0
0.04,1.2100000000000002,0.0
0.04,1.225,0.0
0.04,1.2400000000000002,0.0
0.04,1.2550000000000001,0.0
0.04,1.27,0.0
0.04,1.2850000000000001,0.0
0.05500000000000001,0.01,5000.0
0.05500000000000001,0.025,5000.0
0.05500000000000001,0.04,5000.0
0.05500000000000001,0.05500000000000001,5000.0
0.05500000000000001,0.07,5000.0
0.05500000000000001,0.085,5000.0
0.05500000000000001,0.1,5000.0
0.05500000000000001,0.115,5000.0
0.05500000000000001,0.13,5000.0
0.05500000000000001,0.14500000000000002,5000.0
0.05500000000000001,0.16000000000000003,5000.0
0.05500000000000001,0.17500000000000002,5000.0
0.05500000000000001,0.19000000000000003,5000.0
0.05500000000000001,0.20500000000000002,5000.0
0.05500000000000001,0.22000000000000003,5000.0
0.05500000000000001,0.23500000000000001,5000.0
0.05500000000000001,0.25,5000.0
0.05500000000000001,0.265,5000.0
0.05500000000000001,0.28,5000.0
0.05500000000000001,0.29500000000000004,5000.0
0.05500000000000001,0.31000000000000005,5000.0
0.05500000000000001,0.325,5000.0
0.05500000000000001,0.34,5000.0
0.05500000000000001,0.35500000000000004,5000.0
0.05500000000000001,0.37000000000000005,5000.0
0.05500000000000001,0.38500000000000006,5000.0
0.05500000000000001,0.4,5000.0
0.05500000000000001,0.41500000000000004,5000.0
0.05500000000000001,0.43000000000000005,5000.0
0.05500000000000001,0.44500000000000006,5000.0
0.05500000000000001,0.46,5000.0
0.05500000000000001,0.47500000000000003,5000.0
0.05500000000000001,0.49000000000000005,5000.0
0.05500000000000001,0.505,5000.0
0.05500000000000001,0.52,4493.0
0.05500000000000001,0.535,4435.0
0.05500000000000001,0.55,4318.0
0.05500000000000001,0.5650000000000001,3369.0
0.05500000000000001,0.5800000000000001,3222.0
0.05500000000000001,0.5950000000000001,3122.0
0.05500000000000001,0.6100000000000001,3033.0
0.05500000000000001,0.6250000000000001,2951.0
0.05500000000000001,0.64,2899.0
0.05500000000000001,0.655,2825.0
0.05500000000000001,0.67,2786.0
0.05500000000000001,0.685,2779.0
0.05500000000000001,0.7000000000000001,2760.0
0.05500000000000001,0.7150000000000001,2751.0
0.05500000000000001,0.7300000000000001,2618.0
0.05500000000000001,0.7450000000000001,2445.0
0.05500000000000001,0.7600000000000001,2094.0
0.05500000000000001,0.775,1751.0
0.05500000000000001,0.79,1597.0
0.05500000000000001,0.805,1207.0
0.05500000000000001,0.8200000000000001,1075.0
0.05500000000000001,0.8350000000000001,996.0
0.05500000000000001,0.8500000000000001,930.0
0.05500000000000001,0.8650000000000001,903.0
0.05500000000000001,0.8800000000000001,808.0
0.05500000000000001,0.8950000000000001,740.0
0.05500000000000001,0.91,684.0
0.05500000000000001,0.925,638.0
0.05500000000000001,0.9400000000000001,502.0
0.05500000000000001,0.9550000000000001,366.0
0.05500000000000001,0.9700000000000001,168.0
0.05500000000000001,0.9850000000000001,26.0
0.05500000000000001,1.0,0.0
0.05500000000000001,1.0150000000000001,0.0
0.05500000000000001,1.03,0.0
0.05500000000000001,1.0450000000000002,0.0
0.05500000000000001,1.06,0.0
0.05500000000000001,1.0750000000000002,0.0
0.05500000000000001,1.09,0.0
0.05500000000000001,1.1050000000000002,0.0
0.05500000000000001,1.12,0.0
0.05500000000000001,1.135,0.0
0.05500000000000001,1.1500000000000001,0.0
0.05500000000000001,1.165,0.0
0.05500000000000001,1.1800000000000002,0.0
0.05500000000000001,1.195,0.0
0.05500000000000001,1.2100000000000002,0.0
0.05500000000000001,1.225,0.0
0.05500000000000001,1.2400000000000002,0.0
0.05500000000000001,1.2550000000000001,0.0
0.05500000000000001,1.27,0.0
0.05500000000000001,1.2850000000000001,0.0
0.07,0.01,5000.0
0.07,0.025,5000.0
0.07,0.04,5000.0
0.07,0.05500000000000001,5000.0
0.07,0.07,5000.0
0.07,0.085,5000.0
0.07,0.1,5000.0
0.07,0.115,5000.0
0.07,0.13,5000.0
0.07,0.14500000000000002,5000.0
0.07,0.16000000000000003,5000.0
0.07,0.17500000000000002,5000.0
0.07,0.19000000000000003,5000.0
0.07,0.20500000000000002,5000.0
0.07,0.22000000000000003,5000.0
0.07,0.23500000000000001,5000.0
0.07,0.25,5000.0
0.07,0.265,5000.0
0.07,0.28,5000.0
0.07,0.29500000000000004,5000.0
0.07,0.31000000000000005,5000.0
0.07,0.325,5000.0
0.07,0.34,5000.0
0.07,0.35500000000000004,5000.0
0.07,0.37000000000000005,5000.0
0.07,0.38500000000000006,5000.0
0.07,0.4,5000.0
0.07,0.41500000000000004,5000.0
0.07,0.43000000000000005,5000.0
0.07,0.44500000000000006,5000.0
0.07,0.46,4709.0
0.07,0.47500000000000003,3602.0
0.07,0.49000000000000005,3300.0
0.07,0.505,3060.0
0.07,0.52,2917.0
0.07,0.535,2807.0
0.07,0.55,2757.0
0.07,0.5650000000000001,2702.0
0.07,0.5800000000000001,2611.0
0.07,0.5950000000000001,2555.0
0.07,0.6100000000000001,2498.0
0.07,0.6250000000000001,2455.0
0.07,0.64,2414.0
0.07,0.655,2374.0
0.07,0.67,2373.0
0.07,0.685,2368.0
0.07,0.7000000000000001,2358.0
0.07,0.7150000000000001,2299.0
0.07,0.7300000000000001,2222.0
0.07,0.7450000000000001,2167.0
0.07,0.7600000000000001,1347.0
0.07,0.775,1095.0
0.07,0.79,980.0
0.07,0.805,797.0
0.07,0.8200000000000001,769.0
0.07,0.8350000000000001,742.0
0.07,0.8500000000000001,719.0
0.07,0.8650000000000001,690.0
0.07,0.8800000000000001,647.0
0.07,0.8950000000000001,615.0
0.07,0.91,588.0
0.07,0.925,551.0
0.07,0.9400000000000001,352.0
0.07,0.9550000000000001,165.0
0.07,0.9700000000000001,90.0
0.07,0.9850000000000001,8.0
0.07,1.0,0.0
0.07,1.0150000000000001,0.0
0.07,1.03,0.0
0.07,1.0450000000000002,0.0
0.07,1.06,0.0
0.07,1.0750000000000002,0.0
0.07,1.09,0.0
0.07,1.1050000000000002,0.0
0.07,1.12,0.0
0.07,1.135,0.0
0.07,1.1500000000000001,0.0
0.07,1.165,0.0
0.07,1.1800000000000002,0.0
0.07,1.195,0.0
0.07,1.2100000000000002,0.0
0.07,1.225,0.0
0.07,1.2400000000000002,0.0
0.07,1.2550000000000001,0.0
0.07,1.27,0.0
0.07,1.2850000000000001,0.0
0.085,0.01,5000.0
0.085,0.025,5000.0
0.085,0.04,5000.0
0.085,0.05500000000000001,5000.0
0.085,0.07,5000.0
0.085,0.085,5000.0
0.085,0.1,5000.0
0.085,0.115,5000.0
0.085,0.13,5000.0
0.085,0.14500000000000002,5000.0
0.085,0.16000000000000003,5000.0
0.085,0.17500000000000002,5000.0
0.085,0.19000000000000003,5000.0
0.085,0.20500000000000002,5000.0
0.085,0.22000000000000003,5000.0
0.085,0.23500000000000001,5000.0
0.085,0.25,5000.0
0.085,0.265,5000.0
0.085,0.28,5000.0
0.085,0.29500000000000004,5000.0
0.085,0.31000000000000005,5000.0
0.085,0.325,5000.0
0.085,0.34,5000.0
0.085,0.35500000000000004,5000.0
0.085,0.37000000000000005,5000.0
0.085,0.38500000000000006,5000.0
0.085,0.4,5000.0
0.085,0.41500000000000004,4871.0
0.085,0.43000000000000005,4295.0
0.085,0.44500000000000006,3285.0
0.085,0.46,3068.0
0.085,0.47500000000000003,2793.0
0.085,0.49000000000000005,2655.0
0.085,0.505,2602.0
0.085,0.52,2531.0
0.085,0.535,2465.0
0.085,0.55,2428.0
0.085,0.5650000000000001,2353.0
0.085,0.5800000000000001,2299.0
0.085,0.5950000000000001,2256.0
0.085,0.6100000000000001,2227.0
0.085,0.6250000000000001,2197.0
0.085,0.64,2165.0
0.085,0.655,2154.0
0.085,0.67,2148.0
0.085,0.685,2138.0
0.085,0.7000000000000001,2135.0
0.085,0.7150000000000001,2043.0
0.085,0.7300000000000001,2011.0
0.085,0.7450000000000001,1979.0
0.085,0.7600000000000001,805.0
0.085,0.775,749.0
0.085,0.79,720.0
0.085,0.805,665.0
0.085,0.8200000000000001,651.0
0.085,0.8350000000000001,628.0
0.085,0.8500000000000001,613.0
0.085,0.8650000000000001,589.0
0.085,0.8800000000000001,569.0
0.085,0.8950000000000001,541.0
0.085,0.91,520.0
0.085,0.925,490.0
0.085,0.9400000000000001,154.0
0.085,0.9550000000000001,97.0
0.085,0.9700000000000001,15.0
0.085,0.9850000000000001,5.0
0.085,1.0,0.0
0.085,1.0150000000000001,0.0
0.085,1.03,0.0
0.085,1.0450000000000002,0.0
0.085,1.06,0.0
0.085,1.0750000000000002,0.0
0.085,1.09,0.0
0.085,1.1050000000000002,0.0
0.085,1.12,0.0
0.085,1.135,0.0
0.085,1.1500000000000001,0.0
0.085,1.165,0.0
0.085,1.1800000000000002,0.0
0.085,1.195,0.0
0.085,1.2100000000000002,0.0
0.085,1.225,0.0
0.085,1.2400000000000002,0.0
0.085,1.2550000000000001,0.0
0.085,1.27,0.0
0.085,1.2850000000000001,0.0
0.1,0.01,5000.0
0.1,0.025,5000.0
0.1,0.04,5000.0
0.1,0.05500000000000001,5000.0
0.1,0.07,5000.0
0.1,0.085,5000.0
0.1,0.1,5000.0
0.1,0.115,5000.0
0.1,0.13,5000.0
0.1,0.14500000000000002,5000.0
0.1,0.16000000000000003,5000.0
0.1,0.17500000000000002,5000.0
0.1,0.19000000000000003,5000.0
0.1,0.20500000000000002,5000.0
0.1,0.22000000000000003,5000.0
0.1,0.23500000000000001,5000.0
0.1,0.25,5000.0
0.1,0.265,5000.0
0.1,0.28,5000.0
0.1,0.29500000000000004,5000.0
0.1,0.31000000000000005,5000.0
0.1,0.325,5000.0
0.1,0.34,5000.0
0.1,0.35500000000000004,5000.0
0.1,0.37000000000000005,5000.0
0.1,0.38500000000000006,5000.0
0.1,0.4,3506.0
0.1,0.41500000000000004,3244.0
0.1,0.43000000000000005,2964.0
0.1,0.44500000000000006,2690.0
0.1,0.46,2546.0
0.1,0.47500000000000003,2440.0
0.1,0.49000000000000005,2313.0
0.1,0.505,2279.0
0.1,0.52,2212.0
0.1,0.535,2177.0
0.1,0.55,2135.0
0.1,0.5650000000000001,2097.0
0.1,0.5800000000000001,2060.0
0.1,0.5950000000000001,2036.0
0.1,0.6100000000000001,2017.0
